timestep,cur_kl,rate,mse,rmse,rmse_scaled
877,0.00085,0.09679,0.01143,0.10689,13.62875
876,0.00084,0.09595,0.01154,0.10742,13.69551
875,0.00083,0.09512,0.01165,0.10794,13.76175
874,0.00082,0.09431,0.01176,0.10842,13.82385
873,0.00081,0.09350,0.01189,0.10905,13.90372
872,0.00079,0.09270,0.01200,0.10953,13.96457
871,0.00078,0.09192,0.01211,0.11006,14.03206
870,0.00077,0.09115,0.01222,0.11055,14.09561
869,0.00076,0.09038,0.01235,0.11114,14.17001
868,0.00075,0.08963,0.01245,0.11159,14.22753
867,0.00074,0.08888,0.01257,0.11212,14.29516
866,0.00074,0.08815,0.01271,0.11274,14.37430
865,0.00073,0.08742,0.01280,0.11315,14.42722
864,0.00072,0.08671,0.01291,0.11363,14.48805
863,0.00071,0.08600,0.01304,0.11418,14.55788
862,0.00070,0.08530,0.01316,0.11471,14.62510
861,0.00069,0.08461,0.01326,0.11516,14.68250
860,0.00068,0.08393,0.01340,0.11577,14.76121
859,0.00067,0.08326,0.01351,0.11623,14.81948
858,0.00067,0.08259,0.01364,0.11678,14.88986
857,0.00066,0.08194,0.01376,0.11731,14.95715
856,0.00065,0.08129,0.01386,0.11774,15.01167
855,0.00064,0.08064,0.01399,0.11830,15.08315
854,0.00063,0.08001,0.01409,0.11870,15.13424
853,0.00063,0.07939,0.01420,0.11918,15.19543
852,0.00062,0.07877,0.01434,0.11974,15.26724
851,0.00061,0.07816,0.01445,0.12020,15.32566
850,0.00061,0.07755,0.01459,0.12080,15.40157
849,0.00060,0.07695,0.01471,0.12130,15.46517
848,0.00059,0.07636,0.01482,0.12175,15.52314
847,0.00058,0.07578,0.01495,0.12226,15.58784
846,0.00058,0.07520,0.01508,0.12280,15.65646
845,0.00057,0.07463,0.01517,0.12316,15.70326
844,0.00056,0.07406,0.01531,0.12372,15.77440
843,0.00056,0.07350,0.01544,0.12424,15.84069
842,0.00055,0.07295,0.01556,0.12476,15.90670
841,0.00055,0.07240,0.01570,0.12531,15.97663
840,0.00054,0.07186,0.01581,0.12576,16.03387
839,0.00054,0.07133,0.01594,0.12625,16.09735
838,0.00053,0.07080,0.01604,0.12665,16.14786
837,0.00052,0.07027,0.01621,0.12732,16.23320
836,0.00052,0.06976,0.01629,0.12763,16.27271
835,0.00051,0.06924,0.01643,0.12817,16.34117
834,0.00051,0.06874,0.01652,0.12853,16.38763
833,0.00050,0.06824,0.01669,0.12918,16.46995
832,0.00050,0.06774,0.01680,0.12961,16.52514
831,0.00049,0.06725,0.01692,0.13006,16.58274
830,0.00049,0.06676,0.01705,0.13057,16.64817
829,0.00048,0.06628,0.01718,0.13108,16.71250
828,0.00048,0.06580,0.01729,0.13149,16.76448
827,0.00047,0.06533,0.01741,0.13197,16.82555
826,0.00047,0.06486,0.01754,0.13245,16.88732
825,0.00046,0.06440,0.01769,0.13299,16.95609
824,0.00046,0.06394,0.01781,0.13346,17.01586
823,0.00045,0.06349,0.01796,0.13400,17.08463
822,0.00045,0.06304,0.01806,0.13440,17.13589
821,0.00045,0.06259,0.01824,0.13506,17.22070
820,0.00044,0.06215,0.01834,0.13541,17.26471
819,0.00044,0.06172,0.01849,0.13598,17.33746
818,0.00043,0.06129,0.01858,0.13629,17.37730
817,0.00043,0.06086,0.01869,0.13671,17.43075
816,0.00042,0.06043,0.01884,0.13725,17.49997
815,0.00042,0.06001,0.01900,0.13785,17.57610
814,0.00042,0.05960,0.01914,0.13834,17.63851
813,0.00041,0.05918,0.01925,0.13875,17.69118
812,0.00041,0.05878,0.01936,0.13913,17.73879
811,0.00040,0.05837,0.01954,0.13977,17.82048
810,0.00040,0.05797,0.01961,0.14005,17.85680
809,0.00040,0.05757,0.01982,0.14079,17.95100
808,0.00039,0.05718,0.01994,0.14119,18.00197
807,0.00039,0.05679,0.02005,0.14161,18.05549
806,0.00039,0.05640,0.02015,0.14195,18.09803
805,0.00038,0.05602,0.02031,0.14252,18.17166
804,0.00038,0.05564,0.02046,0.14303,18.23622
803,0.00038,0.05526,0.02059,0.14348,18.29434
802,0.00037,0.05489,0.02076,0.14410,18.37217
801,0.00037,0.05452,0.02087,0.14448,18.42117
800,0.00037,0.05415,0.02100,0.14490,18.47482
799,0.00036,0.05379,0.02112,0.14533,18.52937
798,0.00036,0.05343,0.02126,0.14582,18.59208
797,0.00036,0.05307,0.02141,0.14631,18.65439
796,0.00035,0.05272,0.02155,0.14680,18.71669
795,0.00035,0.05237,0.02167,0.14720,18.76760
794,0.00035,0.05202,0.02185,0.14782,18.84763
793,0.00035,0.05167,0.02196,0.14818,18.89266
792,0.00034,0.05133,0.02208,0.14859,18.94492
791,0.00034,0.05099,0.02223,0.14910,19.00982
790,0.00034,0.05065,0.02240,0.14966,19.08106
789,0.00033,0.05032,0.02256,0.15019,19.14939
788,0.00033,0.04999,0.02267,0.15056,19.19700
787,0.00033,0.04966,0.02286,0.15120,19.27840
786,0.00033,0.04933,0.02291,0.15137,19.30024
785,0.00032,0.04901,0.02315,0.15214,19.39782
784,0.00032,0.04869,0.02324,0.15246,19.43852
783,0.00032,0.04837,0.02337,0.15287,19.49155
782,0.00032,0.04806,0.02354,0.15342,19.56105
781,0.00031,0.04774,0.02365,0.15379,19.60860
780,0.00031,0.04743,0.02380,0.15427,19.66951
779,0.00031,0.04712,0.02395,0.15476,19.73209
778,0.00031,0.04682,0.02409,0.15521,19.78881
777,0.00030,0.04652,0.02419,0.15553,19.83036
776,0.00030,0.04622,0.02441,0.15624,19.92002
775,0.00030,0.04592,0.02453,0.15662,19.96907
774,0.00030,0.04562,0.02465,0.15700,20.01749
773,0.00029,0.04533,0.02483,0.15757,20.09056
772,0.00029,0.04504,0.02500,0.15811,20.15914
771,0.00029,0.04475,0.02509,0.15841,20.19670
770,0.00029,0.04446,0.02524,0.15889,20.25797
769,0.00029,0.04418,0.02543,0.15946,20.33149
768,0.00028,0.04389,0.02555,0.15983,20.37884
767,0.00028,0.04361,0.02567,0.16022,20.42773
766,0.00028,0.04333,0.02583,0.16073,20.49322
765,0.00028,0.04306,0.02601,0.16128,20.56263
764,0.00027,0.04278,0.02618,0.16179,20.62831
763,0.00027,0.04251,0.02624,0.16200,20.65534
762,0.00027,0.04224,0.02640,0.16249,20.71803
761,0.00027,0.04197,0.02662,0.16315,20.80113
760,0.00027,0.04171,0.02674,0.16351,20.84796
759,0.00026,0.04144,0.02695,0.16417,20.93184
758,0.00026,0.04118,0.02701,0.16435,20.95465
757,0.00026,0.04092,0.02716,0.16481,21.01267
756,0.00026,0.04066,0.02738,0.16546,21.09664
755,0.00026,0.04040,0.02752,0.16588,21.14973
754,0.00025,0.04015,0.02764,0.16624,21.19543
753,0.00025,0.03990,0.02782,0.16680,21.26653
752,0.00025,0.03965,0.02799,0.16731,21.33170
751,0.00025,0.03940,0.02814,0.16774,21.38724
750,0.00025,0.03915,0.02831,0.16826,21.45290
749,0.00025,0.03890,0.02843,0.16861,21.49716
748,0.00024,0.03866,0.02865,0.16926,21.58112
747,0.00024,0.03842,0.02875,0.16955,21.61716
746,0.00024,0.03818,0.02894,0.17013,21.69122
745,0.00024,0.03794,0.02913,0.17066,21.75936
744,0.00024,0.03770,0.02925,0.17104,21.80702
743,0.00024,0.03746,0.02942,0.17151,21.86753
742,0.00023,0.03723,0.02955,0.17190,21.91745
741,0.00023,0.03699,0.02973,0.17241,21.98235
740,0.00023,0.03676,0.02992,0.17296,22.05258
739,0.00023,0.03653,0.02998,0.17316,22.07777
738,0.00023,0.03631,0.03024,0.17390,22.17183
737,0.00023,0.03608,0.03040,0.17434,22.22891
736,0.00022,0.03586,0.03052,0.17471,22.27543
735,0.00022,0.03563,0.03067,0.17512,22.32794
734,0.00022,0.03541,0.03086,0.17567,22.39800
733,0.00022,0.03519,0.03101,0.17608,22.45071
732,0.00022,0.03497,0.03120,0.17663,22.52064
731,0.00022,0.03475,0.03135,0.17706,22.57513
730,0.00022,0.03454,0.03161,0.17778,22.66752
729,0.00021,0.03432,0.03169,0.17802,22.69735
728,0.00021,0.03411,0.03186,0.17849,22.75787
727,0.00021,0.03390,0.03197,0.17882,22.79892
726,0.00021,0.03369,0.03218,0.17939,22.87203
725,0.00021,0.03348,0.03235,0.17986,22.93255
724,0.00021,0.03327,0.03263,0.18064,23.03149
723,0.00021,0.03306,0.03266,0.18072,23.04169
722,0.00020,0.03286,0.03286,0.18127,23.11160
721,0.00020,0.03265,0.03301,0.18169,23.16574
720,0.00020,0.03245,0.03320,0.18220,23.23079
719,0.00020,0.03225,0.03337,0.18268,23.29148
718,0.00020,0.03205,0.03354,0.18314,23.34981
717,0.00020,0.03185,0.03375,0.18371,23.42318
716,0.00020,0.03165,0.03390,0.18413,23.47691
715,0.00020,0.03146,0.03411,0.18470,23.54882
714,0.00020,0.03126,0.03422,0.18500,23.58743
713,0.00019,0.03107,0.03444,0.18559,23.66246
712,0.00019,0.03088,0.03462,0.18607,23.72374
711,0.00019,0.03069,0.03476,0.18643,23.76971
710,0.00019,0.03050,0.03496,0.18698,23.83985
709,0.00019,0.03031,0.03512,0.18740,23.89325
708,0.00019,0.03012,0.03528,0.18784,23.94946
707,0.00019,0.02993,0.03553,0.18848,24.03152
706,0.00019,0.02975,0.03569,0.18893,24.08841
705,0.00018,0.02956,0.03585,0.18934,24.14118
704,0.00018,0.02938,0.03600,0.18973,24.19077
703,0.00018,0.02920,0.03613,0.19008,24.23559
702,0.00018,0.02902,0.03641,0.19081,24.32836
701,0.00018,0.02884,0.03653,0.19112,24.36817
700,0.00018,0.02866,0.03673,0.19166,24.43656
699,0.00018,0.02848,0.03691,0.19213,24.49617
698,0.00018,0.02830,0.03710,0.19261,24.55720
697,0.00018,0.02813,0.03723,0.19296,24.60270
696,0.00017,0.02796,0.03740,0.19338,24.65620
695,0.00017,0.02778,0.03765,0.19404,24.73981
694,0.00017,0.02761,0.03782,0.19449,24.79691
693,0.00017,0.02744,0.03803,0.19502,24.86452
692,0.00017,0.02727,0.03817,0.19536,24.90844
691,0.00017,0.02710,0.03847,0.19614,25.00786
690,0.00017,0.02693,0.03870,0.19672,25.08211
689,0.00017,0.02676,0.03878,0.19693,25.10803
688,0.00017,0.02660,0.03898,0.19743,25.17257
687,0.00017,0.02643,0.03918,0.19795,25.23841
686,0.00016,0.02627,0.03936,0.19838,25.29388
685,0.00016,0.02610,0.03951,0.19878,25.34478
684,0.00016,0.02594,0.03977,0.19942,25.42625
683,0.00016,0.02578,0.04006,0.20015,25.51913
682,0.00016,0.02562,0.04014,0.20034,25.54390
681,0.00016,0.02546,0.04033,0.20081,25.60388
680,0.00016,0.02530,0.04058,0.20144,25.68310
679,0.00016,0.02514,0.04069,0.20173,25.72031
678,0.00016,0.02498,0.04094,0.20235,25.79905
677,0.00016,0.02483,0.04109,0.20270,25.84485
676,0.00016,0.02467,0.04133,0.20329,25.91913
675,0.00015,0.02452,0.04149,0.20370,25.97129
674,0.00015,0.02436,0.04170,0.20421,26.03724
673,0.00015,0.02421,0.04190,0.20469,26.09749
672,0.00015,0.02406,0.04209,0.20516,26.15748
671,0.00015,0.02391,0.04227,0.20561,26.21477
670,0.00015,0.02376,0.04247,0.20609,26.27627
669,0.00015,0.02361,0.04271,0.20667,26.35073
668,0.00015,0.02346,0.04283,0.20696,26.38710
667,0.00015,0.02332,0.04310,0.20760,26.46898
666,0.00015,0.02317,0.04334,0.20817,26.54215
665,0.00015,0.02302,0.04344,0.20841,26.57237
664,0.00015,0.02288,0.04376,0.20919,26.67175
663,0.00014,0.02273,0.04388,0.20946,26.70670
662,0.00014,0.02259,0.04418,0.21018,26.79821
661,0.00014,0.02245,0.04436,0.21062,26.85413
660,0.00014,0.02230,0.04458,0.21115,26.92139
659,0.00014,0.02216,0.04469,0.21140,26.95354
658,0.00014,0.02202,0.04497,0.21206,27.03754
657,0.00014,0.02188,0.04518,0.21255,27.10062
656,0.00014,0.02174,0.04532,0.21289,27.14390
655,0.00014,0.02161,0.04562,0.21359,27.23265
654,0.00014,0.02147,0.04583,0.21408,27.29521
653,0.00014,0.02133,0.04608,0.21467,27.37045
652,0.00014,0.02120,0.04628,0.21513,27.42856
651,0.00013,0.02106,0.04642,0.21546,27.47095
650,0.00013,0.02093,0.04661,0.21590,27.52690
649,0.00013,0.02080,0.04683,0.21641,27.59255
648,0.00013,0.02066,0.04703,0.21686,27.64942
647,0.00013,0.02053,0.04729,0.21745,27.72548
